heading,roll,pitch,ax,ay,az,mx,my,mz,count
-25.4758,-8.699165,-7.399066,0.1958008,-0.4660645,1.351318,116.9315,13.62539,38.02324,99
-29.81919,-7.299043,-5.560246,-0.4851074,-0.4289551,1.47998,117.4605,16.27969,38.87578,100
-34.79569,-3.737634,0.5485542,-0.4985352,-0.5637207,1.461182,117.6369,17.16445,40.41036,101
-41.04795,2.142979,4.951188,-1.278809,-0.6088867,1.213867,117.2842,18.93398,42.45645,102
-48.82854,8.17492,6.703409,-1.984375,-0.2976074,0.5466309,114.2859,18.40313,36.14766,103
-52.44626,12.09777,5.592028,-1.466309,-0.4038086,1.2771,112.875,19.46484,34.10156,104
-50.10108,19.41219,9.373571,-1.984375,-0.5200195,0.5756836,113.0514,12.91758,32.56699,105
-37.71945,25.06483,10.44586,-0.8225098,-0.8527832,0.3474121,112.6986,5.131641,32.56699,106
-27.74529,30.87678,10.21884,-0.2941895,-0.8049316,-0.1872559,113.2277,-1.769531,33.41953,107
-17.71582,33.74667,8.660707,0.1660156,-0.7897949,-0.8259277,111.9932,-10.08633,35.29512,108
-7.03447,34.15413,6.39082,0.6374512,-0.7790527,-1.067627,107.9367,-16.27969,34.7836,109
2.78485,27.05022,1.743977,1.587158,-0.8276367,0.1347656,102.1166,-14.68711,31.20293,110
11.70532,17.67991,-3.072565,1.916992,-0.6357422,0.8625488,99.64747,-12.56367,30.5209,111
16.35556,8.442475,-5.497593,1.632568,-0.5400391,1.396729,98.76563,-10.61719,27.62227,112
18.86183,0.8214621,-7.958661,1.804443,-0.4233398,1.671875,97.17833,-5.485547,25.40566,113
15.05976,-4.255558,-9.640368,0.9084473,-0.338623,1.44458,98.06016,-3.539063,26.2582,114
10.58459,-7.096565,-10.76034,0.529541,-0.1828613,1.071289,101.0584,-0.1769531,26.0877,115
5.496346,-8.625829,-11.58826,0.2573242,-0.1831055,1.049561,102.1166,1.592578,26.76973,116
-1.380847,-10.22838,-10.77854,0.1567383,-0.2692871,1.252441,103.5275,7.962891,27.11074,117
-6.596148,-11.74739,-7.312355,-0.02587891,-0.2121582,1.204102,104.4094,9.909375,27.96328,118
-10.56555,-11.86727,-4.479894,-0.1274414,-0.2001953,1.14917,104.5857,10.08633,29.83887,119
-13.14708,-11.80752,-1.592964,-0.02392578,-0.1696777,1.163086,105.2912,12.56367,30.86192,120
-14.45296,-9.885725,0.3069135,-0.1142578,-0.1542969,0.973877,105.644,13.27149,30.86192,121
-14.97548,-8.94559,3.321797,-0.09179688,-0.1474609,0.8723145,104.7621,11.325,31.37344,122
-13.92093,-9.439776,4.677514,0.03955078,-0.1379395,0.869873,106.1731,12.38672,30.35039,123
-13.78774,-9.164693,2.387618,0.01342773,-0.1398926,0.833252,106.3494,12.56367,29.83887,124
-12.87968,-9.621989,0.3494698,0.08349609,-0.154541,0.8479004,105.9967,12.91758,30.5209,125
-12.32634,-10.0448,-1.754557,0.166748,-0.1296387,0.8608398,105.1148,12.38672,30.69141,126
-12.21458,-9.650989,-4.21102,0.1416016,-0.144043,0.8898926,106.5258,11.67891,30.35039,127
-11.63877,-10.18868,-6.156615,0.1313477,-0.1765137,0.9284668,105.9967,12.91758,31.54395,128
-10.90573,-11.23148,-7.853277,0.1828613,-0.1784668,0.9616699,106.1731,12.03281,30.35039,129
-10.68908,-9.724422,-10.53842,0.1494141,-0.1330566,0.8469238,106.8785,13.09453,31.37344,130
-10.61279,-8.509488,-8.723868,0.1223145,-0.1308594,0.8371582,106.1731,13.44844,31.37344,131
-9.505998,-9.31696,-8.81652,0.1630859,-0.1342773,0.8522949,106.3494,13.27149,30.17988,132
-9.709325,-9.126857,-10.11737,0.1015625,-0.1479492,0.8466797,106.3494,12.56367,31.88496,133
