heading,roll,pitch,count
30.24052,-7.521331,-1.485931,11
32.35556,-5.115005,-4.128897,12
34.46461,-1.008276,-7.568719,13
35.84729,2.357287,-9.207953,14
35.68148,5.461174,-10.69889,15
32.88086,7.547936,-13.06059,16
27.14752,10.63969,-14.63108,17
20.86076,11.63237,-16.82326,18
14.83312,12.31432,-17.94073,19
8.807784,12.58088,-18.01799,20
2.912659,12.81976,-17.28952,21
-2.834014,12.53617,-15.62,22
-7.998981,12.381,-12.9475,23
-12.11824,10.83116,-11.47517,24
-13.81484,6.78721,-10.53774,25
-14.07279,0.4532449,-10.009,26
-13.15586,-3.60628,-8.724767,27
-11.47337,-7.410302,-6.607446,28
-8.965464,-9.601952,-3.731007,29
-6.528977,-9.451982,-1.286243,30
-5.158768,-8.431069,-0.4622736,31
-3.58764,-6.500507,0.9539816,32
-1.976809,-4.578183,0.5309467,33
-0.9864722,-2.822012,-1.218839,34
-0.1196152,-0.5400822,-3.543534,35
0.9421044,0.7097744,-4.723332,36
1.685653,1.904403,-6.133947,37
2.195479,2.808602,-7.217649,38
2.711533,2.618287,-8.454433,39
2.988574,1.565018,-9.083235,40
3.304092,0.4568931,-8.093875,41
3.616828,-0.06710404,-6.33877,42
3.775303,-0.465649,-4.386794,43
