heading,roll,pitch,ax,ay,az,mx,my,mz,count
-28.68851,4.934755,-10.65921,-1.984375,-0.7407227,1.633301,111.2877,16.45664,35.29512,68
-29.95246,7.811585,-6.275892,-1.932373,-0.550293,1.31958,112.6986,15.04102,32.22598,69
-29.97962,16.24936,-2.103539,-1.849365,-0.6604004,0.2600098,112.3459,9.378516,32.56699,70
-27.23054,23.91389,3.19569,-1.799316,-0.7736816,0.03051758,115.6969,2.83125,34.44258,71
-18.32653,29.40801,5.829588,-0.5454102,-0.920166,-0.3095703,115.6969,-2.83125,35.80664,72
-7.414833,30.90871,6.257946,-0.1628418,-1.172363,-0.5837402,115.1678,-10.08633,37.68223,73
2.127281,30.94323,4.39874,0.6411133,-1.178711,-0.8688965,112.875,-14.15625,38.19375,74
14.02302,24.55871,-0.2094473,1.999939,-0.6870117,-0.1357422,107.7603,-19.28789,35.63614,75
17.61913,19.46118,-3.469439,1.426514,-0.4907227,0.2619629,105.4676,-17.69531,33.41953,76
22.74139,11.73654,-6.411277,1.999939,-0.2324219,0.9655762,103.3512,-14.86406,31.71446,77
22.97277,4.425815,-9.197889,1.959473,-0.046875,1.25415,101.0584,-10.08633,30.5209,78
18.77527,0.9864985,-11.6277,1.080811,-0.1086426,1.45874,103.1748,-7.255078,29.83887,79
12.87161,-4.400248,-10.60699,0.5212402,-0.2080078,1.999939,107.0549,-3.008203,30.86192,80
3.068712,-5.345047,-10.54876,-0.3283691,-0.02807617,1.620361,107.7603,0.8847657,30.17988,81
-2.889911,-4.383178,-8.438167,-0.5212402,-0.04174805,1.299072,107.2312,4.600781,30.35039,82
-9.590879,-6.494016,-4.194448,-0.8156738,-0.01000977,1.483887,106.8785,8.139844,32.05547,83
-11.20284,-5.165631,-2.722998,-0.3007813,0.0871582,1.005615,107.0549,7.608984,31.54395,84
-11.5145,-3.750073,-1.170908,-0.2299805,0.08422852,1.088867,106.1731,7.785938,31.37344,85
-10.48654,-1.671149,0.3961838,0.08618164,0.06762695,0.8481445,104.4094,7.432032,31.03242,86
-9.085551,0.4793702,-1.06536,0.1086426,0.01391602,1.013672,106.3494,7.608984,31.88496,87
-7.618106,0.6004009,-3.305488,0.1240234,-0.01123047,0.9084473,106.5258,6.370313,32.05547,88
-6.216693,0.3023932,-5.485449,0.2666016,0.03637695,0.8303223,107.584,6.724219,30.69141,89
-5.706108,0.8131925,-7.76907,0.3415527,0.04418945,0.8356934,107.584,6.016407,32.05547,90
-5.649428,0.8106888,-10.42614,0.08032227,0.02172852,0.9023438,106.8785,7.432032,32.39649,91
