heading,roll,pitch,ax,ay,az,mx,my,mz,count
20.21405,-1.253819,-2.787206,0.06542969,-0.5986328,1.525635,151.3231,20.88047,10.57148,63
24.391,-2.546535,-5.49199,0.5341797,-0.621582,1.603271,152.734,25.12734,11.25352,64
30.80914,-1.204743,-15.48735,0.6948242,-0.5615234,1.294922,155.2031,24.41953,9.548438,65
35.28571,-0.3186526,-19.54166,1.192139,-0.6862793,1.183105,156.4377,25.3043,8.695899,66
38.86432,2.355128,-21.73551,1.158691,-0.6318359,0.8793945,157.6723,21.94219,5.45625,67
40.12609,4.861518,-24.62115,1.38916,-0.6057129,0.8259277,159.4359,19.11094,3.751172,68
39.48872,8.37889,-27.86951,1.296875,-0.6674805,0.9824219,158.2014,16.10274,3.239649,69
38.07703,13.37106,-29.51735,1.426758,-0.5795898,0.7419434,157.3195,11.67891,2.728125,70
34.50119,19.5874,-31.48772,1.357666,-0.4702148,0.5488281,156.4377,9.02461,0.8525392,71
29.81912,26.98654,-32.66473,1.249756,-0.3757324,0.3139648,155.7322,7.255078,0.8525392,72
22.25971,37.46817,-33.01589,1.247559,-0.2685547,0.078125,154.4977,1.415625,-1.364063,73
14.4625,46.46909,-31.8323,0.6760254,-0.3400879,-0.2729492,152.9104,-0.8847657,-0.1705078,74
4.702285,55.13057,-30.04164,0.2805176,-0.2802734,-0.3022461,150.2648,-4.954688,1.364063,75
-5.835312,63.27846,-27.77836,0.3398438,-0.04589844,-0.317627,149.2066,-7.785938,2.728125,76
-14.85631,69.81964,-23.12497,0.3198242,-0.03686523,-0.4333496,148.8539,-12.38672,4.092188,77
-21.14742,71.5957,-18.36495,0.4179688,-0.3513184,-0.1166992,149.9121,-13.09453,4.433203,78
-24.99334,68.87792,-11.66961,-0.1723633,-0.6374512,-0.1074219,151.4994,-13.62539,3.239649,79
-30.6782,65.1901,-3.327598,-1.984375,-0.5678711,-0.4372559,152.9104,-14.68711,2.216602,80
-36.3976,56.2424,3.659046,-1.565918,-0.2583008,0.5158691,151.6758,-10.97109,1.023047,81
-40.43455,46.61942,6.022107,-1.180176,-0.2145996,1.082764,151.1467,-4.423828,0.1705078,82
-42.24903,36.39349,5.759415,-1.370361,-0.3647461,1.328369,151.1467,-1.946484,0.8525392,83
-43.79636,27.14761,4.187142,-1.566895,-0.3808594,1.952881,147.6193,3.362109,-0.1705078,84
-39.31477,20.28052,2.630879,-0.8254395,-0.2629395,1.999939,147.6193,7.962891,0.8525392,85
-34.18381,15.31736,-0.1794758,-0.7084961,-0.3330078,1.410889,149.2066,10.61719,3.410156,86
-27.43624,11.21291,-2.249279,-0.373291,-0.5407715,1.949707,150.7939,14.68711,5.626758,87
-18.77199,7.488109,-4.028378,0.2009277,-0.463623,1.56543,151.4994,14.68711,8.695899,88
-9.318105,5.135261,-7.499525,0.4030762,-0.3105469,1.398438,150.6176,16.27969,8.184376,89
-1.609789,3.226097,-10.78686,0.8496094,-0.09228516,1.186523,151.8522,16.10274,5.285742,90
3.556156,4.284451,-14.87702,0.8122559,-0.06860352,1.030029,153.6158,16.10274,3.580664,91
7.802146,4.485497,-18.39244,0.953125,0.0078125,0.956543,154.4977,16.6336,3.751172,92
9.634285,5.136582,-21.93772,0.7194824,0.0300293,0.9655762,154.8504,16.27969,3.069141,93
10.13919,6.110531,-24.00031,0.638916,0.1120605,0.8027344,155.3795,14.3332,3.92168,94
9.366431,7.48524,-25.06887,0.2937012,0.1086426,0.9331055,154.8504,15.57188,2.38711,95
8.251085,8.611437,-21.88992,0.1318359,0.1166992,0.7385254,155.2031,14.86406,1.705078,96
7.508957,10.02159,-18.02479,0.1425781,0.1679688,0.5959473,156.7904,13.9793,2.898633,97
5.440876,12.00629,-16.91074,0.1000977,0.2236328,0.6533203,156.6141,14.51016,3.069141,98
3.97362,13.39425,-15.2291,0.1320801,0.260498,0.7475586,157.4959,14.68711,2.898633,99
2.480908,14.9337,-13.83731,0.1218262,0.2470703,0.8571777,157.4959,13.62539,2.216602,100
1.056973,15.38644,-11.67962,0.1179199,0.2441406,0.8754883,156.085,15.39492,2.557617,101
-0.573039,15.37991,-9.686928,0.1062012,0.2355957,0.9560547,156.6141,14.51016,2.728125,102
-1.960321,14.52407,-7.472719,0.09130859,0.2246094,0.9023438,155.9086,15.57188,3.410156,103
-3.396002,13.74283,-5.124444,0.04785156,0.2216797,0.9438477,156.9668,15.21797,3.069141,104
-4.696038,15.2744,-4.208939,0.02563477,0.21875,0.9213867,156.2613,15.21797,3.751172,105
