heading,roll,pitch,ax,ay,az,mx,my,mz,count
13.74352,83.16452,-8.042065,-0.2250977,1.999939,-1.984375,49.91191,-19.6418,50.29981,302
10.44729,79.58202,-10.08846,0.5407715,0.519043,-1.984375,47.79551,-15.74883,48.25371,303
1.78966,74.50719,-13.62698,0.5917969,-0.6723633,-1.419434,44.0918,-11.325,52.51641,304
-2.964329,68.31409,-22.69656,0.9213867,-1.234375,-0.9577637,41.97539,-2.123438,54.90352,305
-8.449454,60.26912,-36.42761,1.654785,-1.043945,-0.5583496,41.44629,4.069922,61.55332,306
-12.19311,53.28766,-47.9802,1.623535,-0.8540039,-0.4875488,41.44629,10.44024,70.07871,307
-12.36455,45.10154,-56.25713,1.475098,-0.7409668,-0.1225586,43.73907,12.38672,76.38751,308
-10.12135,36.65974,-61.7246,1.431885,-0.6118164,0.04931641,45.67911,11.85586,78.94512,309
-9.827285,31.60463,-64.19453,1.250244,-0.541748,0.2712402,46.03184,10.08633,81.33224,310
-10.03845,29.74472,-63.57176,1.153076,-0.4995117,0.1728516,45.85547,8.847656,81.50274,311
-8.290209,27.91503,-61.46709,1.038574,-0.2888184,0.05273438,45.15,7.078125,80.47969,312
-8.540905,28.90601,-60.06372,0.9519043,-0.1916504,0.03393555,45.32637,5.839453,78.94512,313
-10.83596,32.92999,-58.16124,0.9482422,0.05224609,0.1506348,44.79727,4.954688,79.11563,314
-9.226211,32.47471,-56.3956,0.9550781,0.1655273,0.06176758,44.0918,4.246875,79.79766,315
-6.520447,32.08621,-57.64811,1.140137,0.2832031,0.1821289,45.32637,3.716016,80.65021,316
-4.623609,31.57403,-56.95228,1.17749,0.2224121,0.1325684,44.79727,1.769531,80.82071,317
-2.524835,30.75471,-56.94674,1.174072,0.1804199,0.1369629,46.03184,1.946484,80.30918,318
0.02691649,29.53649,-57.08419,1.166748,0.2104492,0.2348633,46.20821,3.185156,83.54883,319
2.794446,27.90909,-56.0608,1.117188,0.1591797,0.1726074,45.32637,4.069922,81.33224,320
6.400072,25.86141,-55.30265,1.054443,0.1650391,0.1242676,46.38457,1.946484,81.33224,321
9.411846,25.68629,-55.38855,1.006592,0.1601563,0.1398926,46.03184,1.592578,80.30918,322
11.80023,25.46932,-54.93265,0.9711914,0.1767578,0.1433105,46.20821,1.769531,79.79766,323
13.50761,26.43762,-54.53452,0.9553223,0.1726074,0.1293945,44.44454,3.185156,81.16172,324
15.36384,27.256,-55.04834,0.9851074,0.2126465,0.1464844,44.6209,0.8847657,79.96817,325
17.48915,27.81302,-55.10545,1.002441,0.1889648,0.1572266,45.85547,1.769531,79.79766,326
20.59273,27.21786,-55.14273,1.033447,0.2019043,0.189209,45.67911,1.238672,81.67325,327
23.34857,27.24048,-54.9239,1.051025,0.2214355,0.2028809,45.85547,1.061719,80.13867,328
25.09502,28.38928,-54.5734,1.02417,0.2224121,0.2141113,45.85547,1.061719,80.47969,329
27.54663,29.67357,-53.91912,1.0271,0.237793,0.140625,45.67911,0.1769531,80.65021,330
28.5455,31.44088,-54.31141,1.025879,0.2453613,0.1772461,45.50273,1.769531,79.45664,331
30.41288,32.52004,-54.39441,1.062988,0.2519531,0.1958008,45.67911,1.592578,79.96817,332
32.686,33.14671,-54.32652,1.072998,0.2609863,0.1779785,45.15,2.477344,79.45664,333
34.40046,34.1778,-54.49564,1.059082,0.2404785,0.1774902,44.26816,2.300391,79.62715,334
36.18271,35.06634,-54.88088,1.06543,0.2612305,0.1911621,43.91543,1.592578,78.94512,335
38.03501,35.91906,-55.00442,1.018311,0.2290039,0.1630859,45.67911,1.946484,79.96817,336
40.09378,36.43132,-55.47962,1.045898,0.2421875,0.1975098,44.79727,3.185156,79.11563,337
42.34416,37.63469,-55.55312,1.014893,0.2097168,0.170166,44.6209,1.238672,79.96817,338
44.29182,38.32933,-56.07742,1.02832,0.2299805,0.1689453,44.97364,3.008203,79.28613,339
46.04423,39.44067,-56.41065,1.026855,0.2341309,0.1640625,45.15,2.123438,79.11563,340
47.22096,40.97946,-56.89743,0.9934082,0.2314453,0.1489258,44.97364,1.946484,80.30918,341
48.37008,42.48783,-57.57164,0.989502,0.2402344,0.1645508,46.03184,1.238672,79.28613,342
49.99722,43.75864,-57.8127,1.017822,0.2524414,0.1665039,46.20821,2.477344,78.77461,343
52.2018,44.49078,-58.08158,1.0354,0.2333984,0.1625977,45.85547,1.769531,79.45664,344
53.98344,45.54544,-58.84078,1.054932,0.2900391,0.1767578,46.38457,2.654297,80.30918,345
56.14686,47.09229,-58.95623,1.072998,0.2736816,0.1660156,45.32637,3.362109,80.65021,346
57.71201,48.37016,-59.14511,1.0625,0.2658691,0.1252441,46.03184,3.716016,81.33224,347
58.38722,50.30499,-59.28066,1.050293,0.2775879,0.1584473,44.97364,1.946484,80.30918,348
59.66299,51.56297,-59.27783,1.052734,0.2719727,0.1496582,46.56094,2.123438,80.13867,349
61.28953,52.34909,-59.54283,1.090576,0.2243652,0.1113281,44.97364,1.238672,81.67325,350
62.55111,53.07856,-60.35691,1.070801,0.2355957,0.1254883,46.7373,2.300391,80.65021,351
63.51758,54.47298,-60.69406,1.070557,0.2236328,0.1274414,46.03184,1.592578,80.65021,352
65.23208,55.25632,-60.95038,1.063965,0.2382813,0.09985352,45.85547,0.3539063,80.47969,353
67.20832,56.25668,-61.07894,1.074951,0.2224121,0.09814453,45.15,0.0,79.45664,354
68.67122,57.18966,-61.24014,1.032227,0.2626953,0.1335449,44.0918,-1.769531,78.77461,355
69.75137,59.10866,-61.03955,0.9990234,0.2805176,0.1540527,45.67911,-1.946484,79.62715,356
71.94148,60.33699,-60.67917,0.9782715,0.3127441,0.119873,44.44454,-1.415625,79.11563,357
73.99415,61.6142,-60.33609,1.022461,0.3339844,0.1333008,46.56094,-2.123438,76.38751,358
76.32569,62.57664,-60.25071,1.0271,0.3918457,0.1567383,43.91543,-0.8847657,76.55801,359
78.33877,64.18603,-59.91312,1.009521,0.3696289,0.1767578,45.32637,-1.946484,76.89903,360
80.60865,65.5534,-59.78061,1.005127,0.4418945,0.2119141,44.44454,-4.600781,74.68243,361
85.04054,66.36983,-58.16345,1.032471,0.5280762,0.140625,44.97364,-4.777735,73.48887,362
86.17576,68.18091,-57.42676,0.9841309,0.5473633,0.1311035,44.6209,-4.777735,74.1709,363
86.43666,70.63267,-56.60131,0.9384766,0.5495605,0.1713867,44.0918,-4.600781,71.27227,364
92.91893,79.19218,-36.211,0.3400879,0.8947754,0.1376953,45.32637,-15.74883,60.53028,387
93.7843,79.38361,-33.87906,0.376709,0.8510742,0.1953125,47.44277,-16.81055,58.48418,388
