heading,roll,pitch,count
38.9197,66.13216,-18.53604,95
36.25367,63.72276,-21.80185,96
33.46658,57.29032,-24.34492,97
31.37008,54.17621,-25.64779,98
8.062958,62.67065,-41.56811,110
3.531504,64.58857,-44.50676,111
-2.382447,66.36536,-49.7467,112
-8.449076,68.02262,-55.0324,113
-16.98524,72.00221,-60.30916,114
-25.94263,76.60123,-65.97374,115
-30.26381,75.36325,-73.54929,116
-37.29763,78.88832,-76.91608,117
-48.53445,86.57264,-79.63538,118
-58.59355,93.71015,-82.2733,119
-68.45603,101.0794,-84.5163,120
-77.59931,108.5904,-85.52272,121
-91.38267,120.831,-86.21245,122
-96.2114,124.6291,-86.9531,123
-73.49134,101.4185,-87.83662,124
-54.21481,82.12304,-87.7876,125
-46.71597,75.23655,-87.15496,126
-42.55755,71.70175,-86.52564,127
-35.05592,64.58356,-85.82425,128
-26.2153,56.06616,-85.2418,129
-20.44844,50.75645,-84.72392,130
-17.70299,48.60838,-84.01928,131
-15.54171,47.1544,-82.98776,132
-13.79744,46.03673,-82.08797,133
-11.73841,44.79873,-81.08449,134
-12.7796,46.78574,-80.43853,135
