heading,roll,pitch,count
69.36563,88.97418,-16.81946,78
76.27706,83.94277,-15.00115,79
82.48981,80.3897,-13.63824,80
87.96869,76.96728,-9.224824,81
91.67106,72.54212,-1.395947,82
94.1142,67.66325,7.754761,83
97.21868,65.97583,18.08551,84
96.92206,64.13568,27.48325,85
92.54621,57.89361,35.24764,86
92.5505,52.76598,44.23422,87
97.35227,54.38629,47.70412,88
99.82322,55.15467,48.57246,89
102.0155,56.96068,48.68598,90
104.0097,59.10593,49.85369,91
103.8179,59.82664,51.37456,92
102.3664,59.83647,52.78522,93
101.5343,60.39969,54.30042,94
102.3023,62.57684,56.10462,95
102.8867,64.43307,56.69813,96
103.4826,66.29964,56.96214,97
104.8017,68.64823,57.28699,98
105.9804,70.79325,57.50947,99
106.6207,72.51195,57.84343,100
107.2103,73.94861,58.38473,101
107.8831,75.47115,58.78876,102
108.8685,77.82788,59.11687,103
109.2968,79.33213,59.36,104
109.198,80.28289,59.68286,105
109.5964,81.58636,59.82327,106
110.4879,83.43115,59.84491,107
111.2683,85.07957,60.11318,108
111.2538,85.9873,60.61373,109
111.4403,86.99541,61.03548,110
112.1625,88.79638,61.377,111
