heading,roll,pitch,ax,ay,az,mx,my,mz,count
-13.0906,50.03415,14.81892,0.2277832,0.8342285,0.8549805,195.5912,-16.45664,21.99551,217
-18.89088,40.64281,17.32231,-0.5075684,1.927246,1.88623,196.473,-10.26328,18.41484,218
-16.01904,39.29656,17.15644,0.9707031,1.999939,-0.1184082,196.6494,-8.670704,20.63145,219
-12.10048,36.53402,17.62853,0.7263184,1.999939,-0.3144531,196.2967,-7.608984,20.63145,220
-11.54085,30.11765,19.70528,-0.4624023,1.999939,-1.183594,200.3531,-3.892969,20.11992,221
-3.958108,25.93151,23.37438,0.3991699,0.4645996,-1.984375,201.235,-4.423828,26.0877,222
1.903005,21.64814,31.51066,-0.6530762,-0.3254395,-0.8876953,200.7059,-1.415625,27.62227,223
0.2881127,11.63366,39.51479,-1.437988,-0.3955078,-1.388428,201.5877,0.1769531,31.54395,224
3.594438,4.862854,48.14818,-0.9211426,-0.6936035,-1.236328,204.586,-0.3539063,37.51172,225
0.8353603,-9.212719,57.74569,-1.480957,-1.098145,-0.9162598,205.1151,-0.1769531,39.04629,226
-5.759886,-24.6239,62.66262,-1.733887,-1.375244,-0.473877,204.586,-1.769531,41.26289,227
-11.14263,-37.04121,65.53337,-1.523682,-1.758789,0.2053223,203.175,-2.477344,42.96797,228
-13.48018,-41.93598,66.22617,-1.004883,-1.957275,0.03710938,204.4096,-4.423828,43.4795,229
-15.73183,-42.57923,63.11193,-1.453125,-1.637939,0.1779785,203.7041,-5.131641,41.4334,230
-16.84157,-39.1717,60.09926,-1.304688,-1.393066,0.5249023,202.4695,-2.123438,41.94492,231
-15.96662,-30.73184,56.83105,-1.240967,-1.13916,0.1135254,203.3514,-2.654297,39.04629,232
-15.01666,-22.14371,54.13529,-1.452637,-0.5471191,-0.046875,206.3496,-0.3539063,36.14766,233
-10.33418,-8.20517,51.0527,-1.531006,-0.2470703,-0.01586914,203.3514,-3.008203,33.24902,234
-4.708634,4.752712,48.57328,-1.091797,0.0793457,-0.7600098,201.5877,-6.547266,31.88496,235
5.63218,21.83263,46.03698,-0.6611328,0.2478027,-0.1455078,200.8822,-11.14805,30.5209,236
13.11016,36.48787,39.9807,-0.2648926,0.1103516,-0.6660156,198.7658,-16.45664,29.83887,237
25.16577,54.8041,36.08763,1.090332,0.7114258,-1.104736,195.0621,-22.65,36.14766,238
27.1743,62.68749,28.12256,0.5737305,0.9992676,-0.451416,193.6512,-24.77344,36.48867,239
22.29539,62.48212,21.85596,0.06665039,0.8913574,0.4423828,192.0639,-25.6582,33.93106,240
21.08583,63.76794,15.69317,0.1582031,0.8813477,0.3884277,190.6529,-28.48945,34.9541,241
21.96162,66.17128,9.115051,0.01660156,0.9038086,0.6608887,189.242,-28.84336,36.31817,242
22.51351,66.33395,5.423475,0.4072266,0.9152832,0.5961914,186.4201,-28.48945,38.02324,243
23.63287,68.40064,1.534582,0.465332,0.9819336,0.4958496,188.3602,-30.78984,38.19375,244
22.73093,70.18587,-1.135342,0.1816406,1.136963,0.182373,186.9492,-31.14375,39.2168,245
20.87229,72.19948,-2.94331,0.1137695,1.174072,0.3322754,187.1256,-31.67461,38.36426,246
18.72245,73.91489,-3.348177,0.1169434,1.154297,0.1464844,186.2438,-30.43594,38.87578,247
18.17521,77.08916,-3.853549,0.08764648,1.130127,-0.1120605,186.7729,-31.3207,41.09239,248
18.12114,79.38199,-4.825241,0.1484375,1.073975,-0.08447266,186.9492,-30.08203,40.23984,249
18.41335,81.21987,-5.928599,0.1325684,0.9992676,0.06567383,186.0674,-29.55117,38.70528,250
